SAMPID	AGE	SEX	SVA_AGE	SVA_SEX
GTEX.14C5O.1526.SM.7DHKT	GTEX-14C5O-1526-SM-7DHKT	60-69	2	-0.242407821238758	-0.266011336758227
GTEX.14DAQ.1326.SM.5RQIM	GTEX-14DAQ-1326-SM-5RQIM	60-69	1	-0.102176437792262	-0.168746918896672
GTEX.14E1K.0726.SM.62LDU	GTEX-14E1K-0726-SM-62LDU	50-59	2	-0.151528784403621	-0.158199349810992
GTEX.14E6C.0626.SM.664NA	GTEX-14E6C-0626-SM-664NA	40-49	2	-0.0864529661133769	-0.0303695158503736
GTEX.14E7W.1426.SM.6LLJ2	GTEX-14E7W-1426-SM-6LLJ2	70-79	2	-0.158416663260751	-0.138887113636311
GTEX.14PJ2.1226.SM.62LFE	GTEX-14PJ2-1226-SM-62LFE	50-59	2	-0.167360713303831	-0.176947615725835
GTEX.14PJ3.0226.SM.6EU37	GTEX-14PJ3-0226-SM-6EU37	50-59	2	0.302354100733779	0.322590317502558
GTEX.14PJ4.0826.SM.6LLH5	GTEX-14PJ4-0826-SM-6LLH5	60-69	2	0.323584742927359	0.43274035818072
GTEX.14PJ6.0526.SM.6LLIU	GTEX-14PJ6-0526-SM-6LLIU	60-69	1	-0.0360090900917543	0.11381049056447
GTEX.14PJM.1426.SM.62LF3	GTEX-14PJM-1426-SM-62LF3	50-59	1	-0.143282899051424	-0.156463733791162
GTEX.14PK6.0626.SM.6AJ9P	GTEX-14PK6-0626-SM-6AJ9P	70-79	1	0.0887363901833341	0.128936332965073
GTEX.15CHC.0626.SM.686YV	GTEX-15CHC-0626-SM-686YV	60-69	1	-0.0393732959735102	0.0195979968013801
GTEX.15CHR.0126.SM.7SB7X	GTEX-15CHR-0126-SM-7SB7X	50-59	2	-0.155547723560793	-0.167138560544613
GTEX.15DDE.1326.SM.6LLJM	GTEX-15DDE-1326-SM-6LLJM	50-59	1	0.290833000949001	0.109586199638084
GTEX.15DYW.1226.SM.6PALV	GTEX-15DYW-1226-SM-6PALV	60-69	1	-0.0218315323766448	-0.0846248920117243
GTEX.15DZA.1226.SM.7KFS1	GTEX-15DZA-1226-SM-7KFS1	30-39	1	0.470584238514096	0.489156475471644
GTEX.15ER7.2026.SM.793B8	GTEX-15ER7-2026-SM-793B8	20-29	1	-0.0905300959901445	-0.0268117150698578
GTEX.15ETS.0726.SM.6LPKL	GTEX-15ETS-0726-SM-6LPKL	40-49	1	0.375692108599911	0.316583842348448
GTEX.15FZZ.0426.SM.6PANM	GTEX-15FZZ-0426-SM-6PANM	30-39	1	0.111330935561274	0.0977242381067309
GTEX.15G19.1026.SM.6PALM	GTEX-15G19-1026-SM-6PALM	60-69	2	0.145178774989702	-0.0565646890573896
GTEX.15RIF.0126.SM.7KUG3	GTEX-15RIF-0126-SM-7KUG3	20-29	2	0.119187814791578	0.199890542589356
GTEX.15RJE.2426.SM.6PAM9	GTEX-15RJE-2426-SM-6PAM9	40-49	2	-0.268391539282032	-0.271741674596577
GTEX.15SHU.1226.SM.718BY	GTEX-15SHU-1226-SM-718BY	40-49	1	-0.0328097723886643	-0.0250199176230079
GTEX.15SHV.0826.SM.7KUFA	GTEX-15SHV-0826-SM-7KUFA	60-69	2	-0.0150874899412697	0.046294584987176
GTEX.15UF6.0226.SM.7KUF6	GTEX-15UF6-0226-SM-7KUF6	70-79	1	-0.168538406331326	-0.301846341414067
GTEX.16XZZ.1426.SM.7KUE3	GTEX-16XZZ-1426-SM-7KUE3	60-69	2	-0.0116453110397761	-0.0541853665712502
GTEX.17EVP.0926.SM.7IGOY	GTEX-17EVP-0926-SM-7IGOY	40-49	2	-0.319257631008165	-0.369928535700794
GTEX.17EVQ.1626.SM.79ONH	GTEX-17EVQ-1626-SM-79ONH	70-79	2	-0.12051798097083	-0.10870771493078
GTEX.17F96.1126.SM.7EWDF	GTEX-17F96-1126-SM-7EWDF	70-79	2	-0.0387850190807324	-0.0883796941028553
GTEX.17F98.0726.SM.793BJ	GTEX-17F98-0726-SM-793BJ	40-49	1	0.283859673490787	0.287728676402222
GTEX.17GQL.2326.SM.731EJ	GTEX-17GQL-2326-SM-731EJ	60-69	2	0.258693439008911	0.314244623834442
GTEX.17HII.1826.SM.7DUFQ	GTEX-17HII-1826-SM-7DUFQ	50-59	2	-0.121586224932528	-0.21273127589424
GTEX.17KNJ.0526.SM.7PC3Y	GTEX-17KNJ-0526-SM-7PC3Y	50-59	2	-0.206466377354752	-0.147137915584546
GTEX.17MF6.1026.SM.7EWE1	GTEX-17MF6-1026-SM-7EWE1	40-49	2	0.171837671781685	0.0797582798333794
GTEX.18465.1026.SM.7PC23	GTEX-18465-1026-SM-7PC23	50-59	2	-0.111217408289059	-0.247145088890911
GTEX.18A66.1326.SM.7LG4M	GTEX-18A66-1326-SM-7LG4M	60-69	2	-0.07177531814151	-0.081850786936446
GTEX.18A67.0926.SM.7LG5Y	GTEX-18A67-0926-SM-7LG5Y	50-59	2	0.0141800457867824	0.0703045330617243
GTEX.18A6Q.1426.SM.7LG63	GTEX-18A6Q-1426-SM-7LG63	60-69	2	0.0694518752961362	-0.0352614121365394
GTEX.18A7A.1426.SM.731AP	GTEX-18A7A-1426-SM-731AP	50-59	1	-0.130799647177314	-0.0872325063973364
GTEX.18D9U.1326.SM.731BI	GTEX-18D9U-1326-SM-731BI	40-49	2	0.0895097324738024	0.0645917976718648
GTEX.1A3MV.0426.SM.73KXL	GTEX-1A3MV-0426-SM-73KXL	30-39	2	-0.148160726459093	-0.207822906708224
GTEX.1AMEY.0726.SM.72D5X	GTEX-1AMEY-0726-SM-72D5X	30-39	1	-0.102012142433759	0.0333079823804244
GTEX.1AMFI.0426.SM.731C7	GTEX-1AMFI-0426-SM-731C7	50-59	1	0.123400470634004	0.227018767546578
GTEX.1AX8Z.1226.SM.7DHM7	GTEX-1AX8Z-1226-SM-7DHM7	60-69	2	0.380993854939643	0.434529196270229
GTEX.1AX9I.1226.SM.731CJ	GTEX-1AX9I-1226-SM-731CJ	60-69	2	-0.13986616779023	-0.15808847331083
GTEX.1AX9J.0726.SM.7PC2E	GTEX-1AX9J-0726-SM-7PC2E	60-69	2	0.168769876619736	0.217245086457149
GTEX.1AX9K.0726.SM.73KYR	GTEX-1AX9K-0726-SM-73KYR	50-59	2	0.64629646759476	0.608569581090633
GTEX.1AYCT.0326.SM.73KVN	GTEX-1AYCT-0326-SM-73KVN	50-59	2	0.0218556722899055	0.0467405737291115
GTEX.1AYD5.0726.SM.7SB6Y	GTEX-1AYD5-0726-SM-7SB6Y	50-59	2	-0.22339455736848	-0.204269736321005
GTEX.1B8KE.0226.SM.7EWEK	GTEX-1B8KE-0226-SM-7EWEK	50-59	2	0.249134682954224	0.260601158653472
GTEX.1B8L1.0226.SM.7PBYE	GTEX-1B8L1-0226-SM-7PBYE	60-69	2	-0.318196041460737	-0.222267136688653
GTEX.1B8SG.0626.SM.79OL3	GTEX-1B8SG-0626-SM-79OL3	50-59	2	-0.040457265176853	-0.164645295715543
GTEX.1B933.1126.SM.73KX2	GTEX-1B933-1126-SM-73KX2	50-59	1	-0.136373987817521	-0.191442621806138
GTEX.1B97J.0526.SM.793C2	GTEX-1B97J-0526-SM-793C2	50-59	1	0.527065930128251	0.36735214425943
GTEX.1BAJH.1126.SM.7PBYG	GTEX-1BAJH-1126-SM-7PBYG	70-79	2	-0.150426671414641	-0.239184519566615
GTEX.1C2JI.0426.SM.79OOF	GTEX-1C2JI-0426-SM-79OOF	50-59	2	-0.0477542747758255	-0.0744278878466793
GTEX.1C4CL.1226.SM.7DUFT	GTEX-1C4CL-1226-SM-7DUFT	30-39	2	-0.156082943110512	-0.0704561853205322
GTEX.1C64O.1026.SM.7PC3L	GTEX-1C64O-1026-SM-7PC3L	60-69	2	-0.00225496373764578	-0.0355662219435035
GTEX.1C6VQ.1326.SM.7939X	GTEX-1C6VQ-1326-SM-7939X	50-59	2	-0.46273611784676	-0.414113079724377
GTEX.1CAMS.1026.SM.7PC2I	GTEX-1CAMS-1026-SM-7PC2I	40-49	1	0.037389331021431	0.0775364167975865
GTEX.1CB4E.0426.SM.7PBY5	GTEX-1CB4E-0426-SM-7PBY5	60-69	2	-0.214179410863851	-0.129054398907002
GTEX.1CB4G.1126.SM.7PBXW	GTEX-1CB4G-1126-SM-7PBXW	60-69	2	-0.1633038609277	-0.214885987733402
GTEX.1CB4I.1826.SM.793CX	GTEX-1CB4I-1826-SM-793CX	50-59	2	-0.0274441183197928	-0.0439100449984865
GTEX.1CB4J.0126.SM.7PC3K	GTEX-1CB4J-0126-SM-7PC3K	60-69	2	-0.303086655493221	-0.132870444455438
GTEX.1E1VI.1226.SM.7RHGD	GTEX-1E1VI-1226-SM-7RHGD	50-59	2	-0.263219628378817	-0.210234229703075
GTEX.1EKGG.0826.SM.79OLL	GTEX-1EKGG-0826-SM-79OLL	60-69	2	-0.161688882738899	-0.166902412874577
GTEX.1EMGI.0926.SM.7IGPV	GTEX-1EMGI-0926-SM-7IGPV	60-69	2	-0.0383926452633188	-0.0995065037153788
GTEX.1EU9M.1726.SM.7EWF3	GTEX-1EU9M-1726-SM-7EWF3	60-69	2	-0.167220072109424	-0.186724858384225
GTEX.1EWIQ.1026.SM.7P8S1	GTEX-1EWIQ-1026-SM-7P8S1	70-79	1	0.174520020852826	-0.0360865624628472
GTEX.1EX96.2726.SM.7SB88	GTEX-1EX96-2726-SM-7SB88	50-59	2	-0.280183740675371	-0.29203365452002
GTEX.1F48J.1326.SM.7RHGJ	GTEX-1F48J-1326-SM-7RHGJ	50-59	1	-0.190030982336822	-0.265722644722526
GTEX.1F5PK.0626.SM.7SB6S	GTEX-1F5PK-0626-SM-7SB6S	50-59	2	0.4096142223963	0.511661602728491
GTEX.1F75I.1226.SM.9YFM4	GTEX-1F75I-1226-SM-9YFM4	40-49	2	-0.209797260066397	-0.116749488588552
GTEX.1F7RK.1326.SM.7PC39	GTEX-1F7RK-1326-SM-7PC39	20-29	1	-0.153606894744032	-0.266762678091893
GTEX.1F88F.0226.SM.9WYT1	GTEX-1F88F-0226-SM-9WYT1	60-69	1	-0.0215570094939441	-0.0646965037960187
GTEX.1GF9U.0326.SM.7SB91	GTEX-1GF9U-0326-SM-7SB91	40-49	1	-0.0277980418553444	-0.0334745889471656
GTEX.1GF9V.1526.SM.7PC3E	GTEX-1GF9V-1526-SM-7PC3E	60-69	2	-0.1535182079488	-0.199940741932589
GTEX.1GF9W.1926.SM.9KNUM	GTEX-1GF9W-1926-SM-9KNUM	60-69	2	-0.0791567848318849	-0.121830471322962
GTEX.1GL5R.0126.SM.9WYTI	GTEX-1GL5R-0126-SM-9WYTI	50-59	2	-0.30445113674343	-0.218496124350778
GTEX.1GMR2.1126.SM.7RHI6	GTEX-1GMR2-1126-SM-7RHI6	50-59	2	0.170408737848365	0.176344362948656
GTEX.1GMR3.0526.SM.9YFLI	GTEX-1GMR3-0526-SM-9YFLI	40-49	2	-0.162403273988543	-0.199341455180122
GTEX.1GN1U.1626.SM.9MQKP	GTEX-1GN1U-1626-SM-9MQKP	50-59	1	0.107551994333008	0.0177156859805406
GTEX.1GN2E.1126.SM.9MQK9	GTEX-1GN2E-1126-SM-9MQK9	60-69	2	-0.290432829234164	-0.336783136499917
GTEX.1GN73.2226.SM.9YFLF	GTEX-1GN73-2226-SM-9YFLF	60-69	2	0.129691889442591	0.101637526536701
GTEX.1GZ4H.0726.SM.9WG6X	GTEX-1GZ4H-0726-SM-9WG6X	50-59	1	0.319572437819484	0.325345880811059
GTEX.1GZ4I.1126.SM.9QEHR	GTEX-1GZ4I-1126-SM-9QEHR	50-59	2	-0.39335342472518	-0.269235704394276
GTEX.1GZHY.1626.SM.9WG79	GTEX-1GZHY-1626-SM-9WG79	50-59	1	-0.0217569566832809	-0.237140502152543
GTEX.1I4MK.0626.SM.ARZLZ	GTEX-1I4MK-0626-SM-ARZLZ	50-59	1	0.24225689814859	0.284030681307822
GTEX.1I6K7.0826.SM.ACKWI	GTEX-1I6K7-0826-SM-ACKWI	40-49	2	-0.0868536684788456	-0.00696728376231673
GTEX.1ICLY.1126.SM.D4P37	GTEX-1ICLY-1126-SM-D4P37	50-59	2	-0.33605865094535	-0.355478494575859
GTEX.1IDJC.0426.SM.B2LW1	GTEX-1IDJC-0426-SM-B2LW1	50-59	2	-0.0544644535743062	-0.0891693946316875
GTEX.1IDJE.1026.SM.ADEIE	GTEX-1IDJE-1026-SM-ADEIE	50-59	1	0.0626225373136297	0.00314883070956397
GTEX.1IDJF.0926.SM.ARL85	GTEX-1IDJF-0926-SM-ARL85	20-29	2	-0.0708397578902485	-0.0212996056174942
GTEX.1JJ6O.1826.SM.CL53J	GTEX-1JJ6O-1826-SM-CL53J	60-69	2	0.746382810960523	0.587275900367956
GTEX.1JKYN.0226.SM.ARL9H	GTEX-1JKYN-0226-SM-ARL9H	30-39	2	-0.336737071408697	-0.164382408848333
GTEX.1JMOU.0126.SM.E9U53	GTEX-1JMOU-0126-SM-E9U53	60-69	1	0.203628637766228	0.0169534146288839
GTEX.1JMQI.0226.SM.ARZN3	GTEX-1JMQI-0226-SM-ARZN3	50-59	2	-0.207899140841292	-0.270200586792047
GTEX.1JMQJ.2426.SM.E9TIL	GTEX-1JMQJ-2426-SM-E9TIL	50-59	2	0.0513921635584711	-0.0410652268857304
GTEX.1K2DA.0926.SM.CGQGE	GTEX-1K2DA-0926-SM-CGQGE	50-59	2	0.186598797221673	0.279181524835983
GTEX.1K2DU.1326.SM.CYPT5	GTEX-1K2DU-1326-SM-CYPT5	20-29	2	-0.296350725274702	-0.301337443057996
GTEX.1K9T9.1326.SM.E6CJN	GTEX-1K9T9-1326-SM-E6CJN	50-59	1	0.164483666658585	0.00194956182178863
GTEX.1KANC.0326.SM.D3LA7	GTEX-1KANC-0326-SM-D3LA7	50-59	1	-0.20048472786209	-0.107915241062012
GTEX.1KD5A.0826.SM.DKPQ9	GTEX-1KD5A-0826-SM-DKPQ9	50-59	2	-0.0668165902945699	-0.181161165265543
GTEX.1KXAM.1226.SM.E9TJV	GTEX-1KXAM-1226-SM-E9TJV	60-69	2	-0.0160943049798601	0.0141465803957499
GTEX.1L5NE.0326.SM.E6CIC	GTEX-1L5NE-0326-SM-E6CIC	50-59	2	0.146805874946383	0.180481705889511
GTEX.1LB8K.1126.SM.DIPEP	GTEX-1LB8K-1126-SM-DIPEP	50-59	2	-0.212839338340244	-0.241268034111945
